
lat	long	region	rank	rate
30.3896808624268	-87.4620056152344	alabama	31	5.7
30.3724918365479	-87.4849319458008	alabama	31	5.7
30.3724918365479	-87.525032043457	alabama	31	5.7
30.3323860168457	-87.53076171875	alabama	31	5.7
30.3266544342041	-87.5708694458008	alabama	31	5.7
30.3266544342041	-87.5880584716797	alabama	31	5.7
30.3094673156738	-87.5937881469727	alabama	31	5.7
30.286548614502	-87.5937881469727	alabama	31	5.7
30.275089263916	-87.6740036010742	alabama	31	5.7
30.2579021453857	-87.8115158081055	alabama	31	5.7
30.2464408874512	-87.8802642822266	alabama	31	5.7
30.2464408874512	-87.9203720092773	alabama	31	5.7
30.2464408874512	-87.9547500610352	alabama	31	5.7
30.2407131195068	-88.0063171386719	alabama	31	5.7
30.2521705627441	-88.0177764892578	alabama	31	5.7
30.269359588623	-88.0120468139648	alabama	31	5.7
30.275089263916	-87.9948577880859	alabama	31	5.7
30.275089263916	-87.9547500610352	alabama	31	5.7
30.2808208465576	-87.9031829833984	alabama	31	5.7
30.286548614502	-87.8286972045898	alabama	31	5.7
30.286548614502	-87.8000564575195	alabama	31	5.7
30.3266544342041	-87.8000564575195	alabama	31	5.7
30.3438453674316	-87.8172378540039	alabama	31	5.7
30.3839530944824	-87.8401565551758	alabama	31	5.7
30.4011421203613	-87.8516235351562	alabama	31	5.7
30.4125995635986	-87.8745346069336	alabama	31	5.7
30.4240608215332	-87.9031829833984	alabama	31	5.7
30.4469795227051	-87.9261016845703	alabama	31	5.7
30.4928131103516	-87.9318313598633	alabama	31	5.7
30.527193069458	-87.9432907104492	alabama	31	5.7
30.5615692138672	-87.9203720092773	alabama	31	5.7
30.5844879150391	-87.9146423339844	alabama	31	5.7
30.6188640594482	-87.9261016845703	alabama	31	5.7
30.670431137085	-87.9203720092773	alabama	31	5.7
30.6990776062012	-87.9490203857422	alabama	31	5.7
30.7907524108887	-87.989128112793	alabama	31	5.7
30.7964820861816	-88.0063171386719	alabama	31	5.7
30.802209854126	-88.0177764892578	alabama	31	5.7
30.7907524108887	-88.0349655151367	alabama	31	5.7
30.7563762664795	-88.0464248657227	alabama	31	5.7
30.727725982666	-88.0521545410156	alabama	31	5.7
30.7105388641357	-88.0521545410156	alabama	31	5.7
30.6876201629639	-88.063606262207	alabama	31	5.7
30.6818885803223	-88.0693435668945	alabama	31	5.7
30.6303253173828	-88.0808029174805	alabama	31	5.7
30.6131362915039	-88.0808029174805	alabama	31	5.7
30.6074066162109	-88.0979919433594	alabama	31	5.7
30.5959453582764	-88.1094436645508	alabama	31	5.7
30.5844879150391	-88.1151809692383	alabama	31	5.7
30.5558376312256	-88.1094436645508	alabama	31	5.7
30.4813556671143	-88.1209106445312	alabama	31	5.7
30.4412479400635	-88.1209106445312	alabama	31	5.7
30.3896808624268	-88.1266403198242	alabama	31	5.7
30.3610343933105	-88.1323699951172	alabama	31	5.7
30.3438453674316	-88.1438293457031	alabama	31	5.7
30.3381156921387	-88.161018371582	alabama	31	5.7
30.3381156921387	-88.172477722168	alabama	31	5.7
30.3553047180176	-88.1896591186523	alabama	31	5.7
30.3782234191895	-88.2240447998047	alabama	31	5.7
30.3954105377197	-88.2354965209961	alabama	31	5.7
30.4011421203613	-88.2870635986328	alabama	31	5.7
30.4011421203613	-88.3157119750977	alabama	31	5.7
30.4011421203613	-88.3329010009766	alabama	31	5.7
30.4240608215332	-88.35009765625	alabama	31	5.7
30.4125995635986	-88.3902053833008	alabama	31	5.7
30.7334575653076	-88.4073867797852	alabama	31	5.7
30.9970169067383	-88.4188461303711	alabama	31	5.7
31.123067855835	-88.430305480957	alabama	31	5.7
31.432466506958	-88.4532241821289	alabama	31	5.7
31.6960258483887	-88.4646835327148	alabama	31	5.7
31.8908290863037	-88.4761428833008	alabama	31	5.7
32.22314453125	-88.430305480957	alabama	31	5.7
32.3090896606445	-88.430305480957	alabama	31	5.7
32.5783805847168	-88.3902053833008	alabama	31	5.7
32.9221534729004	-88.35009765625	alabama	31	5.7
32.985179901123	-88.3386306762695	alabama	31	5.7
33.2831192016602	-88.2985305786133	alabama	31	5.7
33.5294914245605	-88.2756042480469	alabama	31	5.7
33.7357559204102	-88.2526931762695	alabama	31	5.7
34.0623397827148	-88.2068557739258	alabama	31	5.7
34.0795288085938	-88.2068557739258	alabama	31	5.7
34.3144416809082	-88.1839370727539	alabama	31	5.7
34.4634094238281	-88.166748046875	alabama	31	5.7
